Query,Category
Take me to Capital Airport,Traditional Vehicle
Navigate to Nanjing South Railway Station,Traditional Vehicle
Take me to West Lake,Traditional Vehicle
Go to Bao’an Airport,Traditional Vehicle
Navigate to Tiananmen Square,Traditional Vehicle
Navigate to Kuanzhai Alley,Traditional Vehicle
Navigate to Jinji Lake,Traditional Vehicle
Search for nearby train stations,Traditional Vehicle
Go to the main gate of Wuhan University,Traditional Vehicle
Navigate to Huangshan Scenic Area,Traditional Vehicle
Navigate to Gulangyu Island,Traditional Vehicle
Route to the Terracotta Warriors,Traditional Vehicle
Go to Huanghua Airport,Traditional Vehicle
Navigate to Central Street,Traditional Vehicle
Navigate to Jiefangbei,Traditional Vehicle
Navigate to Disneyland,Traditional Vehicle
Go to the nearest Starbucks,Traditional Vehicle
Go to the nearby KFC,Traditional Vehicle
Navigate to the nearest Luckin Coffee,Traditional Vehicle
Find a Bank of Communications branch,Traditional Vehicle
Find a bank for money transfer,Traditional Vehicle
I want to listen to 1980s songs,Traditional Vehicle
I want to hear the female version of “Sunny Day”,Traditional Vehicle
Select the third item from the bottom,Traditional Vehicle
Select the third item,Traditional Vehicle
Seat massage is on but doesn’t feel like it,Traditional Vehicle
Seat ventilation is on but no airflow,Traditional Vehicle
Play a classic old song,Traditional Vehicle
Front passenger seat leg support is too short,Traditional Vehicle
Front passenger seat backrest is too hard,Traditional Vehicle
Driver’s seat heating warms up too slowly,Traditional Vehicle
Driver’s seat leg support is too hard,Traditional Vehicle
AC blowing on the face is too cold,Traditional Vehicle
Driver’s seat backrest is too narrow,Traditional Vehicle
Can the AC compressor be turned on?,Traditional Vehicle
Can the AC compressor be turned off?,Traditional Vehicle
Can the dual-zone mode be turned on?,Traditional Vehicle
Can the dual-zone mode be turned off?,Traditional Vehicle
Can the three-zone mode be turned on?,Traditional Vehicle
Can the four-zone mode be turned on?,Traditional Vehicle
Can the sync mode be turned on?,Traditional Vehicle
Can the driver’s AC temperature be increased?,Traditional Vehicle
Can the driver’s AC temperature be set to the maximum?,Traditional Vehicle
Can the driver’s AC temperature be set to the minimum?,Traditional Vehicle
Can the passenger’s AC temperature be increased?,Traditional Vehicle
Can the passenger’s AC temperature be decreased?,Traditional Vehicle
Can the passenger’s AC temperature be set to the maximum?,Traditional Vehicle
Can the passenger’s AC temperature be set to the minimum?,Traditional Vehicle
Can the rear AC temperature be set to the maximum?,Traditional Vehicle
Can the front fan speed be increased?,Traditional Vehicle
Can the rear fan speed be set to level 2?,Traditional Vehicle
Can face-blowing mode be turned on?,Traditional Vehicle
Can rear defogger be turned on?,Traditional Vehicle
Can face and foot blowing mode be turned on?,Traditional Vehicle
Can foot and window blowing mode be turned on?,Traditional Vehicle
Can air conditioning “butler mode” be turned on?,Traditional Vehicle
Can steering wheel heating be turned off?,Traditional Vehicle
Don’t switch steering wheel heating to high level,Traditional Vehicle
Can driver’s seat auto heating be turned on?,Traditional Vehicle
Can driver’s seat heating be turned on?,Traditional Vehicle
Can driver’s seat heating be set to high level?,Traditional Vehicle
Can driver’s seat heating be set to low level?,Traditional Vehicle
Can driver’s seat heating be turned down?,Traditional Vehicle
Can passenger’s seat heating be turned on?,Traditional Vehicle
Can passenger’s seat heating be set to high level?,Traditional Vehicle
Can passenger’s seat heating be turned up?,Traditional Vehicle
Can right rear seat heating be turned off?,Traditional Vehicle
Can right rear seat heating be set to medium level?,Traditional Vehicle
Can AC compressor turn on automatically?,Traditional Vehicle
Can AC compressor turn off automatically?,Traditional Vehicle
Can air recirculation be turned on?,Traditional Vehicle
Can external circulation be turned on?,Traditional Vehicle
Can external circulation be turned off?,Traditional Vehicle
Can automatic AC mode be turned on?,Traditional Vehicle
Can automatic AC mode be turned off?,Traditional Vehicle
Can eco AC mode be turned on?,Traditional Vehicle
Can eco AC mode be turned off?,Traditional Vehicle
Can maximum cooling be turned on?,Traditional Vehicle
Can maximum heating be turned on?,Traditional Vehicle
Can AC temperature be set to 25°C?,Traditional Vehicle
Can AC temperature be lowered by 2°C?,Traditional Vehicle
Can AC fan speed be set to maximum?,Traditional Vehicle
Can AC fan speed be set to minimum?,Traditional Vehicle
Can air direction be adjusted to windshield?,Traditional Vehicle
Can air direction adjust automatically?,Traditional Vehicle
Can defrost mode be turned on?,Traditional Vehicle
Can defrost mode be turned off?,Traditional Vehicle
Can rear AC be turned on?,Traditional Vehicle
Can rear AC be turned off?,Traditional Vehicle
Can rear AC turn on automatically?,Traditional Vehicle
Can driver’s fan speed be increased?,Traditional Vehicle
Can driver’s fan speed be decreased?,Traditional Vehicle
Can passenger’s fan speed be increased?,Traditional Vehicle
Can passenger’s fan speed be decreased?,Traditional Vehicle
Can passenger’s fan speed be set to maximum?,Traditional Vehicle
Can passenger’s fan speed be set to minimum?,Traditional Vehicle
Can left rear fan speed be set to level 3?,Traditional Vehicle
Can right rear fan speed be set to level 1?,Traditional Vehicle
Can AC sync mode be turned off?,Traditional Vehicle
Can three-zone mode be turned off?,Traditional Vehicle
Can four-zone mode be turned off?,Traditional Vehicle
Can foot-blowing mode be turned on?,Traditional Vehicle
Can foot-blowing mode be turned off?,Traditional Vehicle
Can face and foot blowing mode be turned off?,Traditional Vehicle
Can foot and window blowing mode be turned off?,Traditional Vehicle
Can AC butler mode be turned off?,Traditional Vehicle
Can steering wheel heating be turned on?,Traditional Vehicle
Can steering wheel heating be set to medium?,Traditional Vehicle
Can steering wheel heating be turned up?,Traditional Vehicle
Can driver’s seat heating be turned off?,Traditional Vehicle
Can driver’s seat heating be set to medium?,Traditional Vehicle
Can driver’s seat heating be turned up?,Traditional Vehicle
Can passenger’s seat auto heating be turned on?,Traditional Vehicle
Can passenger’s seat auto heating be turned off?,Traditional Vehicle
Can passenger’s seat heating be turned down?,Traditional Vehicle
Can left rear seat heating be turned on?,Traditional Vehicle
Can left rear seat heating be turned off?,Traditional Vehicle
Can left rear seat heating be set to high level?,Traditional Vehicle
Can right rear seat heating be turned down?,Traditional Vehicle
Can right rear seat heating be turned on?,Traditional Vehicle
Can all rear seat heating be turned on?,Traditional Vehicle
Can all rear seat heating be turned off?,Traditional Vehicle
Can rear seat ventilation be turned on?,Traditional Vehicle
Can driver’s seat ventilation be turned on?,Traditional Vehicle
Can driver’s seat ventilation be set to low?,Traditional Vehicle
Can passenger’s seat ventilation be turned off?,Traditional Vehicle
Can passenger’s seat ventilation be set to high?,Traditional Vehicle
Can steering wheel ventilation be turned on?,Traditional Vehicle
Can automatic defogging be turned on?,Traditional Vehicle
Can automatic defogging be turned off?,Traditional Vehicle
Can air purification be turned on?,Traditional Vehicle
Can air purification be turned off?,Traditional Vehicle
Can PM2.5 auto filtration be turned on?,Traditional Vehicle
Can PM2.5 auto filtration be turned off?,Traditional Vehicle
Can air fragrance be turned on?,Traditional Vehicle
Can air fragrance be turned off?,Traditional Vehicle
Can air fragrance be set to level 2?,Traditional Vehicle
Can air fragrance be increased?,Traditional Vehicle
Can driver’s AC be controlled separately?,Traditional Vehicle
Can passenger’s AC be controlled separately?,Traditional Vehicle
Can rear AC be controlled separately?,Traditional Vehicle
Can driver’s temperature be set manually?,Traditional Vehicle
Can passenger’s temperature be set manually?,Traditional Vehicle
Can rear temperature be set manually?,Traditional Vehicle
Can rear fan speed be adjusted manually?,Traditional Vehicle
Can front fan speed adjust automatically?,Traditional Vehicle
Can driver’s fan speed be set to level 3?,Traditional Vehicle
Can passenger’s fan speed be set to level 4?,Traditional Vehicle
Can rear fan speed be set to level 5?,Traditional Vehicle
Can steering wheel heating adjust levels?,Traditional Vehicle
Can steering wheel heating turn on automatically?,Traditional Vehicle
Can steering wheel heating turn off automatically?,Traditional Vehicle
Can steering wheel heating switch to medium level?,Traditional Vehicle
Can steering wheel heating be set to highest level?,Traditional Vehicle
Can steering wheel heating be set to lowest level?,Traditional Vehicle
Can driver’s seat heating turn on automatically?,Traditional Vehicle
Can driver’s seat heating turn off automatically?,Traditional Vehicle
Can driver’s seat heating adjust levels?,Traditional Vehicle
Can driver’s seat heating be set to medium level?,Traditional Vehicle
Can driver’s seat heating be set to high level?,Traditional Vehicle
Can passenger’s seat heating be set to low level?,Traditional Vehicle
Can passenger’s seat heating turn on automatically?,Traditional Vehicle
Can passenger’s seat heating turn off automatically?,Traditional Vehicle
Can passenger’s seat heating adjust levels?,Traditional Vehicle
Can rear seat heating adjust levels?,Traditional Vehicle
Can rear seat heating be set to medium level?,Traditional Vehicle
Can rear seat heating be set to high level?,Traditional Vehicle
Can rear seat heating be set to low level?,Traditional Vehicle
Can right rear seat heating turn on automatically?,Traditional Vehicle
Can left rear seat heating turn off automatically?,Traditional Vehicle
Can driver’s seat ventilation be turned on?,Traditional Vehicle
Can passenger’s seat ventilation be turned on?,Traditional Vehicle
Can driver’s seat ventilation be turned off?,Traditional Vehicle
Can passenger’s seat ventilation be turned off?,Traditional Vehicle
Can driver’s seat ventilation be set to high?,Traditional Vehicle
Can passenger’s seat ventilation be set to medium?,Traditional Vehicle
Can rear seat ventilation be turned on?,Traditional Vehicle
Can rear seat ventilation be turned off?,Traditional Vehicle
Can rear seat ventilation be set to low?,Traditional Vehicle
Can rear seat ventilation be set to high?,Traditional Vehicle
Can air fragrance turn on automatically?,Traditional Vehicle
Can air fragrance turn off automatically?,Traditional Vehicle
Can air fragrance be increased by one level?,Traditional Vehicle
Can air fragrance be decreased by one level?,Traditional Vehicle
Can all air fragrance channels be turned off?,Traditional Vehicle
Can PM2.5 filter be turned on?,Traditional Vehicle
Can PM2.5 filter be turned off?,Traditional Vehicle
Can driver’s AC temperature be raised a bit?,Traditional Vehicle
Can driver’s AC temperature be set to max?,Traditional Vehicle
Can driver’s AC temperature be set to min?,Traditional Vehicle
Can passenger’s AC temperature be raised a bit?,Traditional Vehicle
Can passenger’s AC temperature be lowered a bit?,Traditional Vehicle
Can passenger’s AC temperature be set to max?,Traditional Vehicle
Can passenger’s AC temperature be set to min?,Traditional Vehicle
Can rear AC temperature be set to the highest?,Traditional Vehicle
Can front fan speed be increased a little?,Traditional Vehicle
Can rear fan speed be set to level 2?,Traditional Vehicle
Can face-blowing mode be turned on?,Traditional Vehicle
Can rear defogger be turned on?,Traditional Vehicle
Can face and foot blowing mode be turned on?,Traditional Vehicle
Can foot and window blowing mode be turned on?,Traditional Vehicle
Can AC butler mode be turned on?,Traditional Vehicle
Can steering wheel heating be turned off?,Traditional Vehicle
Don’t switch steering wheel heating to high level,Traditional Vehicle
Can driver’s seat auto heating be turned on?,Traditional Vehicle
Can driver’s seat heating be turned on?,Traditional Vehicle
Can driver’s seat heating be set to high level?,Traditional Vehicle
Can driver’s seat heating be set to low level?,Traditional Vehicle
Can driver’s seat heating be turned down a bit?,Traditional Vehicle
Can passenger’s seat heating be turned on?,Traditional Vehicle
